"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P1";"Socket_Strip_Arduino_1x08";1;"Power";;;
2;"P2";"Socket_Strip_Arduino_1x06";1;"Analog";;;
3;"P3";"Socket_Strip_Arduino_1x10";1;"Digital";;;
4;"P4";"Socket_Strip_Arduino_1x08";1;"Digital";;;
5;"P5,P6,P7,P8";"Arduino_1pin";4;"CONN_1";;;
6;"P14";"Pin_Header_Straight_1x10";1;"Digital";;;
7;"P15";"Pin_Header_Straight_1x08";1;"Digital";;;
8;"C3,C4";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"100uF";;;
9;"C5,C6,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1uF";;;
10;"C7,C8,C1,C9,C10";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"0.01uF";;;
11;"DEBUG1,RADIO1";"PinHeader_1x06_P2.54mm_Vertical";2;"CONN_01X06";;;
12;"P13";"PinHeader_2x13_P2.54mm_Vertical";1;"CONN_02X13";;;
13;"PIN0,POUT0";"PinHeader_1x29_P2.54mm_Vertical";2;"CONN_01X29";;;
14;"R1,R2,R3";"R_0815_2038Metric_Pad1.53x4.00mm_HandSolder";3;"10K";;;
15;"R4,R5,R6,R7";"R_0815_2038Metric_Pad1.53x4.00mm_HandSolder";4;"1K";;;
16;"U1";"DIP-16_W7.62mm_LongPads";1;"ULN2003";;;
17;"U2,U3";"DIP-8_W7.62mm_LongPads";2;"LAA110";;;
